,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
0,005930,삼성전자,KOSPI,전기전자,83200,-400,-0.48,496685908160000,3166.0,26.28,37528.0,2.22,1416,1.7
1,000660,SK하이닉스,KOSPI,전기전자,137500,-2500,-1.79,100100325187500,2943.0,46.72,65836.0,2.09,1000,0.73
2,035420,NAVER,KOSPI,서비스업,385500,2000,0.52,63323538772500,4006.0,96.23,35223.0,10.94,376,0.1
3,051910,LG화학,KOSPI,화학,817000,5000,0.62,57673944231000,4085.0,200.0,217230.0,3.76,2000,0.24
4,207940,삼성바이오로직스,KOSPI,의약품,782000,12000,1.56,51741030000000,3067.0,254.97,65812.0,11.88,0,0.0
5,035720,카카오,KOSPI,서비스업,558000,0,0.0,49529118438000,,,60603.0,9.21,127,0.02
6,005380,현대차,KOSPI,운수장비,226000,-2500,-1.09,48289010262000,11310.0,19.98,253001.0,0.89,4000,1.77
7,006400,삼성SDI,KOSPI,전기전자,655000,-8000,-1.21,45040767150000,5331.0,122.87,175114.0,3.74,1000,0.15
8,068270,셀트리온,KOSPI,의약품,310500,1000,0.32,41926110475500,2196.0,141.39,20421.0,15.2,0,0.0
9,000270,기아,KOSPI,운수장비,84300,-300,-0.35,34172130152100,4556.0,18.5,71487.0,1.18,1150,1.36
10,005490,POSCO,KOSPI,철강금속,329500,1500,0.46,28728062132500,22823.0,14.44,510076.0,0.65,10000,3.03
11,012330,현대모비스,KOSPI,운수장비,302500,-3000,-0.98,28674910935000,24234.0,12.48,339207.0,0.89,4000,1.32
12,066570,LG전자,KOSPI,전기전자,156500,-2000,-1.26,25610882891000,169.0,926.04,79245.0,1.97,750,0.48
13,096770,SK이노베이션,KOSPI,화학,266500,28500,11.97,24642072806000,,,186398.0,1.43,3000,1.13
14,051900,LG생활건강,KOSPI,화학,1564000,-2000,-0.13,24426860108000,46431.0,33.68,234042.0,6.68,11000,0.7
15,028260,삼성물산,KOSPI,유통업,129500,500,0.39,24201876989500,6366.0,20.34,125948.0,1.03,2000,1.54
16,017670,SK텔레콤,KOSPI,통신업,283000,6500,2.35,22851036213000,12144.0,23.3,284310.0,1.0,10000,3.53
17,105560,KB금융,KOSPI,기타금융,53400,800,1.52,22204142928000,8451.0,6.32,92672.0,0.58,2210,4.14
18,034730,SK,KOSPI,기타금융,295500,2500,0.85,20791467763500,12917.0,22.88,235255.0,1.26,5000,1.69
19,036570,엔씨소프트,KOSPI,서비스업,906000,-19000,-2.05,19890343932000,17387.0,52.11,113836.0,7.96,5220,0.58
20,091990,셀트리온헬스케어,KOSDAQ,유통,130000,1900,1.48,19756248460000,427.0,304.45,10816.0,12.02,0,0.0
21,055550,신한지주,KOSPI,기타금융,37400,250,0.67,19320823319600,7000.0,5.34,79682.0,0.47,1850,4.95
22,003550,LG,KOSPI,기타금융,95000,4300,4.74,16392927445000,6143.0,15.46,107050.0,0.89,2200,2.32
23,015760,한국전력,KOSPI,전기가스업,23850,0,0.0,15310843236450,,,105140.0,0.23,0,0.0
24,032830,삼성생명,KOSPI,보험,76000,-700,-0.91,15200000000000,5443.0,13.96,178335.0,0.43,2650,3.49
25,090430,아모레퍼시픽,KOSPI,화학,255500,3000,1.19,14936144195000,3477.0,73.48,65050.0,3.93,1000,0.39
26,018260,삼성에스디에스,KOSPI,서비스업,186500,-1000,-0.53,14430959700000,9521.0,19.59,84595.0,2.2,2400,1.29
27,009150,삼성전기,KOSPI,전기전자,191000,-1000,-0.52,14266495936000,6806.0,28.06,68106.0,2.8,1100,0.58
28,003670,포스코케미칼,KOSPI,비금속광물,169000,8000,4.97,13091284180000,1569.0,107.71,15352.0,11.01,400,0.24
29,086790,하나금융지주,KOSPI,기타금융,41600,350,0.85,12490069779200,7898.0,5.27,93673.0,0.44,2100,5.05
30,251270,넷마블,KOSPI,서비스업,140000,8500,6.46,12031632760000,1883.0,74.35,51919.0,2.7,0,0.0
31,033780,KT&G,KOSPI,기타제조업,82000,400,0.49,11257984754000,8208.0,9.99,63008.0,1.3,4400,5.37
32,011200,HMM,KOSPI,운수창고업,29900,50,0.17,10185381090300,,,3420.0,8.74,0,0.0
33,302440,SK바이오사이언스,KOSPI,의약품,132000,1500,1.15,10098000000000,240.0,550.0,3803.0,34.71,0,0.0
34,011170,롯데케미칼,KOSPI,화학,291000,-2000,-0.68,9974146929000,20860.0,13.95,385244.0,0.76,6700,2.3
35,018880,한온시스템,KOSPI,기계,18000,-200,-1.1,9608400000000,597.0,30.15,4153.0,4.33,320,1.78
36,003490,대한항공,KOSPI,운수창고업,26800,-200,-0.74,9321598110000,,,17950.0,1.49,0,0.0
37,009540,한국조선해양,KOSPI,운수장비,131500,3500,2.73,9306664754000,2183.0,60.24,163436.0,0.8,0,0.0
38,009830,한화솔루션,KOSPI,화학,48450,300,0.62,9267443179650,,,34147.0,1.42,200,0.41
39,000810,삼성화재,KOSPI,보험,190500,500,0.26,9024906448500,15126.0,12.59,282791.0,0.67,8500,4.46
40,352820,빅히트,KOSPI,서비스업,252500,-5500,-2.13,8994999400000,2951.0,85.56,6113.0,41.31,0,0.0
41,034220,LG디스플레이,KOSPI,전기전자,24700,-700,-2.76,8838047790000,,,31694.0,0.78,0,0.0
42,010950,S-Oil,KOSPI,화학,78200,-700,-0.89,8803974334400,561.0,139.39,55715.0,1.4,200,0.26
43,326030,SK바이오팜,KOSPI,서비스업,110000,1000,0.92,8614457500000,,,,,0,0.0
44,010130,고려아연,KOSPI,철강금속,413000,1000,0.24,7793310000000,35811.0,11.53,355878.0,1.16,14000,3.39
45,011780,금호석유,KOSPI,화학,248000,-6000,-2.36,7555987368000,10549.0,23.51,78488.0,3.16,1500,0.6
46,316140,우리금융지주,KOSPI,기타금융,10400,100,0.97,7511583903200,2727.0,3.81,29782.0,0.35,700,6.73
47,030200,KT,KOSPI,통신업,27850,-100,-0.36,7271963852800,2526.0,11.03,52341.0,0.53,1100,3.95
48,024110,기업은행,KOSPI,은행,9180,20,0.22,6780938824800,2242.0,4.09,33567.0,0.27,670,7.3
49,086280,현대글로비스,KOSPI,운수창고업,178500,-2000,-1.11,6693750000000,13395.0,13.33,124541.0,1.43,3500,1.96
50,004020,현대제철,KOSPI,철강금속,49900,-700,-1.38,6658944671500,130.0,383.85,126631.0,0.39,750,1.5
51,006800,미래에셋증권,KOSPI,증권,10250,-150,-1.44,6511993182000,956.0,10.72,11236.0,0.91,260,2.54
52,161390,한국타이어앤테크놀로지,KOSPI,화학,52000,1500,2.97,6441503588000,3387.0,15.35,57774.0,0.9,550,1.06
53,097950,CJ제일제당,KOSPI,음식료품,416500,-3500,-0.83,6270068469000,9516.0,43.77,297949.0,1.4,3500,0.84
54,071050,한국금융지주,KOSPI,기타금융,103500,3600,3.6,5767640172000,14467.0,7.15,81250.0,1.27,2900,2.8
55,002790,아모레G,KOSPI,화학,66900,300,0.45,5516452242000,1444.0,46.33,35078.0,1.91,300,0.45
56,032640,LG유플러스,KOSPI,통신업,12600,-100,-0.79,5501303148600,1005.0,12.54,16218.0,0.78,400,3.17
57,011790,SKC,KOSPI,화학,144000,7500,5.49,5453034912000,1686.0,85.41,41542.0,3.47,1000,0.69
58,035250,강원랜드,KOSPI,서비스업,24750,-200,-0.8,5295027375000,1651.0,14.99,17377.0,1.42,900,3.64
59,068760,셀트리온제약,KOSDAQ,제약,146000,2300,1.6,5228457684000,236.0,618.64,7674.0,19.03,0,0.0
60,000720,현대건설,KOSPI,건설업,45750,-700,-1.51,5094526248750,3656.0,12.51,59778.0,0.77,600,1.31
61,271560,오리온,KOSPI,음식료품,127500,-500,-0.39,5040856830000,5454.0,23.38,41042.0,3.11,600,0.47
62,021240,코웨이,KOSPI,서비스업,68000,900,1.34,5018374092000,4611.0,14.75,14611.0,4.65,2400,3.53
63,034020,두산중공업,KOSPI,기계,13200,-100,-0.75,4945214062800,,,11643.0,1.13,0,0.0
64,011070,LG이노텍,KOSPI,전기전자,208000,-2500,-1.19,4922758256000,4323.0,48.11,93151.0,2.23,300,0.14
65,019170,신풍제약,KOSPI,의약품,90800,1700,1.91,4811037092000,35.0,2594.29,3782.0,24.01,0,0.0
66,010140,삼성중공업,KOSPI,운수장비,7620,100,1.33,4800600000000,,,8324.0,0.92,0,0.0
67,139480,이마트,KOSPI,유통업,169500,-1500,-0.88,4724951320500,7620.0,22.24,315997.0,0.54,2000,1.18
68,096530,씨젠,KOSDAQ,제약,176500,7300,4.31,4630304530000,1026.0,172.03,5815.0,30.35,100,0.06
69,000100,유한양행,KOSPI,의약품,65800,2700,4.28,4604220702200,616.0,106.82,23178.0,2.84,400,0.61
70,267250,현대중공업지주,KOSPI,화학,283000,0,0.0,4471008611000,11848.0,23.89,490707.0,0.58,18500,6.54
71,263750,펄어비스,KOSDAQ,디지털컨텐츠,336500,9500,2.91,4453779400000,13002.0,25.88,45229.0,7.44,0,0.0
72,128940,한미약품,KOSPI,의약품,342000,12500,3.79,4130772444000,4352.0,78.58,60099.0,5.69,500,0.15
73,241560,두산밥캣,KOSPI,기계,41150,-700,-1.67,4125253180900,2716.0,15.15,39692.0,1.04,1200,2.92
74,293490,카카오게임즈,KOSDAQ,디지털컨텐츠,54800,700,1.29,4085893425200,197.0,278.17,7443.0,7.36,0,0.0
75,000120,CJ대한통운,KOSPI,운수창고업,178000,0,0.0,4060597232000,1349.0,131.95,131146.0,1.36,0,0.0
76,008930,한미사이언스,KOSPI,기타금융,60300,1000,1.69,4058468043300,467.0,129.12,9607.0,6.28,200,0.33
77,029780,삼성카드,KOSPI,기타금융,34550,150,0.44,4002924684050,3225.0,10.71,59525.0,0.58,1600,4.63
78,006280,녹십자,KOSPI,의약품,340000,-3500,-1.02,3973422920000,,,89738.0,3.79,1000,0.29
79,003410,쌍용C&E,KOSPI,비금속광물,7650,90,1.19,3854525901750,259.0,29.54,3566.0,2.15,42,0.55
80,006360,GS건설,KOSPI,건설업,44750,-700,-1.54,3825716343000,5590.0,8.01,49623.0,0.9,1000,2.23
81,247540,에코프로비엠,KOSDAQ,일반전기전자,180500,14200,8.54,3796847463000,1750.0,103.14,18010.0,10.02,150,0.08
82,028300,에이치엘비,KOSDAQ,운송장비·부품,35150,-600,-1.68,3728419200500,,,1920.0,18.31,0,0.0
83,196170,알테오젠,KOSDAQ,기타서비스,88100,-900,-1.01,3711155235000,,,1679.0,52.47,0,0.0
84,016360,삼성증권,KOSPI,증권,41350,-450,-1.08,3692555000000,4388.0,9.42,55423.0,0.75,1700,4.11
85,078930,GS,KOSPI,기타금융,39050,150,0.39,3628345510900,5745.0,6.8,93746.0,0.42,1900,4.87
86,039490,키움증권,KOSPI,증권,137000,1000,0.74,3566300293000,14017.0,9.77,87976.0,1.56,2000,1.46
87,020150,일진머티리얼즈,KOSPI,전기전자,77000,-600,-0.77,3550534295000,1016.0,75.79,12390.0,6.21,50,0.06
88,023530,롯데쇼핑,KOSPI,유통업,125500,-1000,-0.79,3550238752500,,,376333.0,0.33,3800,3.03
89,180640,한진칼,KOSPI,운수창고업,53500,200,0.38,3545051989000,,,20882.0,2.56,255,0.48
90,112610,씨에스윈드,KOSPI,기계,83700,1300,1.58,3529746431100,978.0,85.58,9360.0,8.94,460,0.55
91,036490,SK머티리얼즈,KOSDAQ,반도체,332300,12100,3.78,3504991737900,13507.0,24.6,44730.0,7.43,3850,1.16
92,047810,한국항공우주,KOSPI,운수장비,35950,-1000,-2.71,3504230096650,1748.0,20.57,11714.0,3.07,400,1.11
93,004990,롯데지주,KOSPI,기타금융,33350,-100,-0.3,3498723053950,,,63267.0,0.53,1100,3.3
94,005940,NH투자증권,KOSPI,증권,11950,-50,-0.42,3362836199650,1585.0,7.54,17934.0,0.67,500,4.18
95,008770,호텔신라,KOSPI,유통업,85500,300,0.35,3355714345500,4483.0,19.07,22979.0,3.72,350,0.41
96,336260,두산퓨얼셀,KOSPI,전기전자,50800,-1300,-2.5,3327081280800,162.0,313.58,2277.0,22.31,0,0.0
97,005830,DB손해보험,KOSPI,보험,46200,100,0.22,3270960000000,5966.0,7.74,84026.0,0.55,1500,3.25
98,028670,팬오션,KOSPI,운수창고업,6020,-20,-0.33,3218108462240,284.0,21.2,5400.0,1.11,0,0.0
99,026960,동서,KOSPI,유통업,32000,300,0.95,3190400000000,1388.0,23.05,13419.0,2.38,700,2.19
100,253450,스튜디오드래곤,KOSDAQ,오락·문화,105000,-500,-0.47,3150456225000,941.0,111.58,15242.0,6.89,0,0.0
101,012750,에스원,KOSPI,서비스업,82300,0,0.0,3127332349400,4337.0,18.98,34937.0,2.36,2500,3.04
102,042660,대우조선해양,KOSPI,운수장비,29000,900,3.2,3111429401000,,,35025.0,0.83,0,0.0
103,008560,메리츠증권,KOSPI,증권,4600,0,0.0,3109423944200,924.0,4.98,5695.0,0.81,200,4.35
104,035760,CJ ENM,KOSDAQ,방송서비스,141500,-1200,-0.84,3102975291000,5310.0,26.65,134364.0,1.05,1400,0.99
105,285130,SK케미칼,KOSPI,화학,263500,3500,1.35,3093857846000,802.0,328.55,54214.0,4.86,450,0.17
106,204320,만도,KOSPI,운수장비,65700,100,0.15,3085082784000,2360.0,27.84,32193.0,2.04,550,0.84
107,036460,한국가스공사,KOSPI,전기가스업,33100,-600,-1.78,3055560300000,395.0,83.8,85073.0,0.39,380,1.15
108,014680,한솔케미칼,KOSPI,화학,263500,1000,0.38,2986823882500,7798.0,33.79,39713.0,6.64,1500,0.57
109,009240,한샘,KOSPI,유통업,124000,-1500,-1.2,2918207072000,2423.0,51.18,25215.0,4.92,1200,0.97
110,007070,GS리테일,KOSPI,유통업,37700,-350,-0.92,2902900000000,1729.0,21.8,28232.0,1.34,750,1.99
111,240810,원익IPS,KOSDAQ,반도체,57800,2500,4.52,2837049477800,899.0,64.29,11543.0,5.01,0,0.0
112,282330,BGF리테일,KOSPI,유통업,163500,1500,0.93,2825918631000,8763.0,18.66,36022.0,4.54,2700,1.65
113,010060,OCI,KOSPI,화학,118000,-2000,-1.67,2814225778000,,,110515.0,1.07,0,0.0
114,088350,한화생명,KOSPI,보험,3230,20,0.62,2805351900000,18.0,179.44,14606.0,0.22,30,0.93
115,047040,대우건설,KOSPI,건설업,6710,-100,-1.47,2788827900980,508.0,13.21,5916.0,1.13,0,0.0
116,004170,신세계,KOSPI,유통업,280000,-500,-0.18,2756650680000,52658.0,5.32,398826.0,0.7,2000,0.71
117,001040,CJ,KOSPI,기타금융,93400,400,0.43,2725131613200,8240.0,11.33,126448.0,0.74,1850,1.98
118,028050,삼성엔지니어링,KOSPI,서비스업,13850,-100,-0.72,2714600000000,1493.0,9.28,6749.0,2.05,0,0.0
119,066970,엘앤에프,KOSDAQ,IT부품,95800,6900,7.76,2689942238200,,,5040.0,19.01,50,0.05
120,012510,더존비즈온,KOSPI,서비스업,88700,1200,1.37,2685879019500,1684.0,52.67,11427.0,7.76,470,0.53
121,010620,현대미포조선,KOSPI,운수장비,66900,1700,2.61,2672129768100,1335.0,50.11,58022.0,1.15,350,0.52
122,081660,휠라홀딩스,KOSPI,유통업,42500,-550,-1.28,2581969435000,4382.0,9.7,20448.0,2.08,219,0.52
123,000080,하이트진로,KOSPI,음식료품,36200,300,0.84,2538836718200,,,14488.0,2.5,700,1.93
124,307950,현대오토에버,KOSPI,서비스업,119000,1500,1.28,2499000000000,2673.0,44.52,24259.0,4.91,710,0.6
125,030000,제일기획,KOSPI,서비스업,21700,-50,-0.23,2496394582500,1363.0,15.92,8229.0,2.64,820,3.78
126,002380,KCC,KOSPI,화학,280500,8500,3.13,2492655115500,,,421723.0,0.67,5500,1.96
127,375500,DL이앤씨,KOSPI,건설업,127500,500,0.39,2468239095000,,,,,0,0.0
128,047050,포스코인터내셔널,KOSPI,유통업,20000,-300,-1.48,2467502980000,1697.0,11.79,24703.0,0.81,700,3.5
129,095700,제넥신,KOSDAQ,기타서비스,99100,1400,1.43,2464781902400,,,12496.0,7.93,0,0.0
130,298020,효성티앤씨,KOSPI,화학,567000,-6000,-1.05,2453795694000,21569.0,26.29,112984.0,5.02,2000,0.35
131,000990,DB하이텍,KOSPI,전기전자,55000,-700,-1.26,2441922340000,2410.0,22.82,14483.0,3.8,350,0.64
132,007700,F&F,KOSPI,섬유의복,157000,3500,2.28,2417800000000,7158.0,21.93,31366.0,5.01,1000,0.64
133,058470,리노공업,KOSDAQ,반도체,158200,-2600,-1.62,2411342934000,3485.0,45.39,19694.0,8.03,1200,0.76
134,032500,케이엠더블유,KOSDAQ,통신장비,60500,-500,-0.82,2409163421500,2654.0,22.8,5444.0,11.11,0,0.0
135,357780,솔브레인,KOSDAQ,화학,302300,-3500,-1.14,2351460501800,,,,,0,0.0
136,000880,한화,KOSPI,화학,31200,350,1.13,2338712532000,1051.0,29.69,45198.0,0.69,700,2.24
137,042670,두산인프라코어,KOSPI,기계,10550,-150,-1.4,2317024359100,1153.0,9.15,10677.0,0.99,0,0.0
138,078340,컴투스,KOSDAQ,디지털컨텐츠,177600,4000,2.3,2285076192000,9160.0,19.39,71478.0,2.48,1400,0.79
139,272210,한화시스템,KOSPI,전기전자,20300,-700,-3.33,2237676896700,706.0,28.75,8786.0,2.31,310,1.53
140,000060,메리츠화재,KOSPI,보험,18550,0,0.0,2237593750000,2693.0,6.89,21397.0,0.87,850,4.58
141,064760,티씨케이,KOSDAQ,반도체,191100,1600,0.84,2231092500000,4011.0,47.64,18883.0,10.12,900,0.47
142,138930,BNK금융지주,KOSPI,기타금융,6800,50,0.74,2216359672800,1647.0,4.13,25415.0,0.27,360,5.29
143,064350,현대로템,KOSPI,운수장비,19950,-100,-0.5,2177388745350,,,9695.0,2.06,0,0.0
144,145020,휴젤,KOSDAQ,제약,174300,-1300,-0.74,2176214806500,3641.0,47.87,55220.0,3.16,0,0.0
145,138040,메리츠금융지주,KOSPI,기타금융,15900,-100,-0.63,2130779574600,2797.0,5.68,19600.0,0.81,550,3.46
146,268600,셀리버리,KOSDAQ,기타서비스,129800,-1200,-0.92,2124853777200,,,1745.0,74.38,0,0.0
147,006260,LS,KOSPI,기타금융,65700,-100,-0.15,2115540000000,912.0,72.04,98330.0,0.67,1450,2.21
148,007310,오뚜기,KOSPI,음식료품,575000,4000,0.7,2111389075000,29693.0,19.36,354385.0,1.62,7500,1.3
149,011210,현대위아,KOSPI,운수장비,77500,-1100,-1.4,2107618932500,2078.0,37.3,113690.0,0.68,700,0.9
150,001450,현대해상,KOSPI,보험,23250,50,0.22,2078550000000,3161.0,7.36,50452.0,0.46,880,3.78
151,069960,현대백화점,KOSPI,유통업,88500,-400,-0.45,2071116028500,8639.0,10.24,181263.0,0.49,1000,1.13
152,006650,대한유화,KOSPI,화학,311000,9000,2.98,2021500000000,17218.0,18.06,273632.0,1.14,2500,0.8
153,012450,한화에어로스페이스,KOSPI,운수장비,39900,-150,-0.37,2020137000000,2558.0,15.6,48217.0,0.83,0,0.0
154,237690,에스티팜,KOSDAQ,제약,106200,12300,13.1,1981267200000,,,16132.0,6.58,0,0.0
155,003090,대웅,KOSPI,기타금융,33150,150,0.45,1927406637000,1446.0,22.93,10795.0,3.07,100,0.3
156,294870,HDC현대산업개발,KOSPI,건설업,28450,-650,-2.23,1875063538500,8731.0,3.26,47095.0,0.6,500,1.76
157,017800,현대엘리베이,KOSPI,기계,45400,-550,-1.2,1853009671400,1190.0,38.15,22966.0,1.98,900,1.98
158,010120,LS ELECTRIC,KOSPI,전기전자,60900,-100,-0.16,1827000000000,3542.0,17.19,45353.0,1.34,1200,1.97
159,010780,아이에스동서,KOSPI,비금속광물,58300,600,1.04,1801038929800,2141.0,27.23,35551.0,1.64,700,1.2
160,004800,효성,KOSPI,기타금융,85400,-700,-0.81,1799465535000,5100.0,16.75,115817.0,0.74,5000,5.85
161,235980,메드팩토,KOSDAQ,기타서비스,88000,1300,1.5,1792810096000,,,3897.0,22.58,0,0.0
162,111770,영원무역,KOSPI,유통업,40300,350,0.88,1785752160400,3791.0,10.63,41602.0,0.97,400,0.99
163,004370,농심,KOSPI,음식료품,293500,0,0.0,1785255427000,12277.0,23.91,316955.0,0.93,4000,1.36
164,005250,녹십자홀딩스,KOSPI,서비스업,37200,1450,4.06,1749449412000,59.0,630.51,16407.0,2.27,325,0.87
165,120110,코오롱인더,KOSPI,화학,64600,600,0.94,1742833064000,1087.0,59.43,67767.0,0.95,900,1.39
166,001230,동국제강,KOSPI,철강금속,18200,800,4.6,1736875813400,,,19382.0,0.94,0,0.0
167,278280,천보,KOSDAQ,화학,173000,4200,2.49,1730000000000,2348.0,73.68,21034.0,8.22,300,0.17
168,000240,한국앤컴퍼니,KOSPI,기타금융,18450,0,0.0,1716222191850,1650.0,11.18,35269.0,0.52,350,1.9
169,298050,효성첨단소재,KOSPI,화학,382000,-7000,-1.8,1711340136000,,,72195.0,5.29,0,0.0
170,048410,현대바이오,KOSDAQ,화학,46850,-300,-0.64,1693996537450,22.0,2129.55,1356.0,34.55,0,0.0
171,098460,고영,KOSDAQ,기계·장비,121500,0,0.0,1668310546500,2192.0,55.43,17763.0,6.84,550,0.45
172,005290,동진쎄미켐,KOSDAQ,반도체,32300,-450,-1.37,1660688156200,1138.0,28.38,6931.0,4.66,90,0.28
173,003000,부광약품,KOSPI,의약품,23200,700,3.11,1648662736800,,,4489.0,5.17,200,0.86
174,185750,종근당,KOSPI,의약품,143500,0,0.0,1639645206500,4751.0,30.2,41506.0,3.46,900,0.63
175,042700,한미반도체,KOSPI,기계,33000,150,0.46,1632175941000,383.0,86.16,3839.0,8.6,100,0.3
176,200130,콜마비앤에이치,KOSDAQ,제약,53600,-600,-1.11,1583534708800,1844.0,29.07,8544.0,6.27,250,0.47
177,016380,KG동부제철,KOSPI,철강금속,15700,100,0.64,1570139682900,,,8886.0,1.77,0,0.0
178,069080,웹젠,KOSDAQ,디지털컨텐츠,44400,-4000,-8.26,1567803249600,1369.0,32.43,10064.0,4.41,0,0.0
179,323990,박셀바이오,KOSDAQ,기타서비스,104200,-2200,-2.07,1567793200000,,,697.0,149.5,0,0.0
180,004000,롯데정밀화학,KOSPI,화학,60700,-1900,-3.04,1566060000000,6611.0,9.18,57873.0,1.05,1700,2.8
181,039030,이오테크닉스,KOSDAQ,반도체,126900,-2400,-1.86,1563350895000,984.0,128.96,31593.0,4.02,150,0.12
182,069620,대웅제약,KOSPI,의약품,134500,3500,2.67,1558394337500,2132.0,63.09,44820.0,3.0,600,0.45
183,051600,한전KPS,KOSPI,건설업,34050,950,2.87,1532250000000,3407.0,9.99,23632.0,1.44,1920,5.64
184,056190,에스에프에이,KOSDAQ,기계·장비,42350,800,1.93,1520735986000,3939.0,10.75,24380.0,1.74,1056,2.49
185,336370,솔루스첨단소재,KOSPI,전기전자,49500,2900,6.22,1514193021000,113.0,438.05,3551.0,13.94,0,0.0
186,034230,파라다이스,KOSDAQ,오락·문화,16550,-200,-1.19,1505101221600,177.0,93.5,13924.0,1.19,100,0.6
187,031430,신세계인터내셔날,KOSPI,유통업,207500,-1000,-0.48,1481550000000,10361.0,20.03,83650.0,2.48,1100,0.53
188,194480,데브시스터즈,KOSDAQ,디지털컨텐츠,128200,9100,7.64,1455867788600,,,9195.0,13.94,0,0.0
189,030190,NICE평가정보,KOSDAQ,기타서비스,23950,50,0.21,1454119939000,682.0,35.12,3692.0,6.49,230,0.96
190,086520,에코프로,KOSDAQ,IT부품,65500,2000,3.15,1446907510500,946.0,69.24,12226.0,5.36,300,0.46
191,108320,실리콘웍스,KOSDAQ,반도체,88800,-1700,-1.88,1444269840000,2370.0,37.47,29033.0,3.06,830,0.93
192,003530,한화투자증권,KOSPI,증권,6670,-320,-4.58,1431033659250,511.0,13.05,5265.0,1.27,0,0.0
193,181710,NHN,KOSPI,서비스업,73100,-500,-0.68,1430203327500,656.0,111.43,80696.0,0.91,0,0.0
194,141080,레고켐바이오,KOSDAQ,기타서비스,59300,1200,2.07,1430069193400,641.0,92.51,4741.0,12.51,0,0.0
195,139130,DGB금융지주,KOSPI,기타금융,8240,90,1.1,1393761663920,1900.0,4.34,27296.0,0.3,410,4.98
196,001740,SK네트웍스,KOSPI,유통업,5520,-20,-0.36,1369995811440,,,8713.0,0.63,120,2.17
197,140410,메지온,KOSDAQ,기타서비스,152000,0,0.0,1351691312000,,,4920.0,30.89,0,0.0
198,178920,PI첨단소재,KOSDAQ,화학,45050,-700,-1.53,1322952806100,603.0,74.71,8557.0,5.26,315,0.7
199,036540,SFA반도체,KOSDAQ,반도체,7990,-100,-1.24,1314037820970,146.0,54.73,2066.0,3.87,0,0.0
200,000210,DL,KOSPI,기타금융,84800,-300,-0.35,1309419017600,17223.0,4.92,153815.0,0.55,1300,1.53
201,032350,롯데관광개발,KOSPI,서비스업,18900,-400,-2.07,1309310011800,,,4348.0,4.35,0,0.0
202,175330,JB금융지주,KOSPI,기타금융,6630,10,0.15,1305996587220,1641.0,4.04,17615.0,0.38,300,4.52
203,161890,한국콜마,KOSPI,화학,56400,400,0.71,1290498552000,1284.0,43.93,20601.0,2.74,330,0.59
204,039200,오스코텍,KOSDAQ,제약,43100,2500,6.16,1289330422900,,,1708.0,25.23,0,0.0
205,023590,다우기술,KOSPI,서비스업,28450,-150,-0.52,1276455253650,4283.0,6.64,29783.0,0.96,400,1.41
206,192080,더블유게임즈,KOSPI,서비스업,69200,-100,-0.14,1271515538400,6541.0,10.58,35440.0,1.95,350,0.51
207,048260,오스템임플란트,KOSDAQ,의료·정밀기기,89000,-2000,-2.2,1271428813000,,,5602.0,15.89,0,0.0
208,086450,동국제약,KOSDAQ,제약,28400,-200,-0.7,1262664000000,1283.0,22.14,8031.0,3.54,160,0.56
209,009420,한올바이오파마,KOSPI,의약품,24000,300,1.27,1253775312000,375.0,64.0,2688.0,8.93,0,0.0
210,000250,삼천당제약,KOSDAQ,제약,55000,600,1.1,1252242255000,488.0,112.7,7142.0,7.7,50,0.09
211,248070,솔루엠,KOSPI,전기전자,25500,-550,-2.11,1251851584500,1132.0,22.53,1655.0,15.41,0,0.0
212,014820,동원시스템즈,KOSPI,화학,48400,700,1.47,1239935932400,1485.0,32.59,17529.0,2.76,500,1.03
213,214320,이노션,KOSPI,서비스업,60500,-1000,-1.63,1210000000000,3681.0,16.44,38184.0,1.58,1500,2.48
214,035900,JYP Ent.,KOSDAQ,오락·문화,34050,-250,-0.73,1208689602600,947.0,35.96,4477.0,7.61,155,0.46
215,025900,동화기업,KOSDAQ,종이·목재,59500,3400,6.06,1201970031500,1581.0,37.63,26226.0,2.27,150,0.25
216,005850,에스엘,KOSPI,운수장비,24850,450,1.84,1197851433450,1979.0,12.56,28224.0,0.88,400,1.61
217,192820,코스맥스,KOSPI,화학,119000,-2500,-2.06,1195891571000,3168.0,37.56,34178.0,3.48,900,0.76
218,144510,녹십자랩셀,KOSDAQ,기타서비스,113200,10300,10.01,1194718912800,,,4174.0,27.12,25,0.02
219,005300,롯데칠성,KOSPI,음식료품,133000,500,0.38,1193691359000,,,138233.0,0.96,2700,2.03
