,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
0,060310,3S,2875,215,8.08,,,745.0,3.86,0,0.0
1,095570,AJ네트웍스,5040,45,0.9,982.0,5.13,6802.0,0.74,300,5.95
2,006840,AK홀딩스,28950,-100,-0.34,2168.0,13.35,62448.0,0.46,750,2.59
3,054620,APS홀딩스,10450,470,4.71,,,10530.0,0.99,0,0.0
4,265520,AP시스템,29600,-150,-0.5,671.0,44.11,7468.0,3.96,50,0.17
5,211270,AP위성,15300,50,0.33,51.0,300.0,5479.0,2.79,70,0.46
6,027410,BGF,7150,-410,-5.42,281.0,25.44,15699.0,0.46,110,1.54
7,282330,BGF리테일,163500,1500,0.93,8763.0,18.66,36022.0,4.54,2700,1.65
8,138930,BNK금융지주,6800,50,0.74,1647.0,4.13,25415.0,0.27,360,5.29
9,001460,BYC,380000,-3500,-0.91,33265.0,11.42,517079.0,0.73,1100,0.29
10,001465,BYC우,162500,-500,-0.31,,,,,1150,0.71
11,001040,CJ,93400,400,0.43,8240.0,11.33,126448.0,0.74,1850,1.98
12,079160,CJ CGV,26900,-50,-0.19,,,11590.0,2.32,0,0.0
13,035760,CJ ENM,141500,-1200,-0.84,5310.0,26.65,134364.0,1.05,1400,0.99
14,00104K,CJ4우(전환),74300,0,0.0,,,,,1900,2.56
15,000120,CJ대한통운,178000,0,0.0,1349.0,131.95,131146.0,1.36,0,0.0
16,011150,CJ씨푸드,5190,40,0.78,51.0,101.76,1781.0,2.91,0,0.0
17,011155,CJ씨푸드1우,37550,250,0.67,,,,,0,0.0
18,001045,CJ우,58700,700,1.21,,,,,1900,3.24
19,097950,CJ제일제당,416500,-3500,-0.83,9516.0,43.77,297949.0,1.4,3500,0.84
20,097955,CJ제일제당 우,190500,-500,-0.26,,,,,3550,1.86
21,051500,CJ프레시웨이,23350,-300,-1.27,434.0,53.8,16967.0,1.38,250,1.07
22,058820,CMG제약,4790,190,4.13,25.0,191.6,1297.0,3.69,0,0.0
